place of work : 2011 super output area - middle layer,Place of Work: MSOA11CD,Usual Residence: England and Wales
Redbridge 005,E02000755,878
Redbridge 006,E02000756,2710
Redbridge 007,E02000757,2892
Redbridge 008,E02000758,598
Redbridge 009,E02000759,1598
Redbridge 010,E02000760,913
Redbridge 012,E02000762,413
Redbridge 013,E02000763,1396
Redbridge 014,E02000764,2465
Redbridge 015,E02000765,969
Redbridge 017,E02000767,1928
Redbridge 018,E02000768,416
Redbridge 019,E02000769,1684
Redbridge 020,E02000770,847
Redbridge 022,E02000772,4672
Redbridge 023,E02000773,1602
Redbridge 024,E02000774,722
Redbridge 026,E02000776,1412
Redbridge 027,E02000777,249
Redbridge 029,E02000779,2380
Redbridge 030,E02000780,7082
Redbridge 031,E02000781,1295
Redbridge 032,E02000782,2298
Redbridge 033,E02000783,499
Redbridge 034,E02006800,1646
Redbridge 035,E02006924,1834
Redbridge 036,E02006925,3164
Richmond upon Thames 001,E02000784,1841
Richmond upon Thames 002,E02000785,3449
Richmond upon Thames 003,E02000786,2512
Richmond upon Thames 004,E02000787,2567
Richmond upon Thames 005,E02000788,1951
Richmond upon Thames 006,E02000789,1573
Richmond upon Thames 007,E02000790,1341
Richmond upon Thames 008,E02000791,8446
Richmond upon Thames 009,E02000792,1091
Richmond upon Thames 010,E02000793,1086
Richmond upon Thames 011,E02000794,2192
Richmond upon Thames 012,E02000795,1197
Richmond upon Thames 013,E02000796,917
Richmond upon Thames 014,E02000797,6749
Richmond upon Thames 015,E02000798,1311
Richmond upon Thames 016,E02000799,1577
Richmond upon Thames 017,E02000800,266
Richmond upon Thames 018,E02000801,3325
Richmond upon Thames 019,E02000802,1878
Richmond upon Thames 020,E02000803,1703
Richmond upon Thames 021,E02000804,5036
Richmond upon Thames 022,E02000805,2084
Richmond upon Thames 023,E02000806,3179
Sutton 001,E02000840,671
Sutton 002,E02000841,4138
Sutton 003,E02000842,2137
Sutton 004,E02000843,1962
Sutton 005,E02000844,944
Sutton 006,E02000845,1246
Sutton 007,E02000846,856
Sutton 008,E02000847,1728
Sutton 009,E02000848,1666
Sutton 010,E02000849,904
Sutton 011,E02000850,6372
Sutton 012,E02000851,10739
Sutton 013,E02000852,1153
Sutton 014,E02000853,896
Sutton 015,E02000854,1818
Sutton 016,E02000855,2059
Sutton 017,E02000856,3045
Sutton 018,E02000857,1715
Sutton 019,E02000858,1306
Sutton 020,E02000859,1275
Sutton 021,E02000860,3070
Sutton 022,E02000861,2364
Sutton 024,E02000863,887
Sutton 025,E02006836,879
Waltham Forest 001,E02000895,979
Waltham Forest 002,E02000896,1841
Waltham Forest 003,E02000897,975
Waltham Forest 004,E02000898,708
Waltham Forest 005,E02000899,1560
Waltham Forest 006,E02000900,1920
Waltham Forest 007,E02000901,2604
Waltham Forest 008,E02000902,577
Waltham Forest 009,E02000903,1024
Waltham Forest 010,E02000904,1887
Waltham Forest 011,E02000905,2404
Waltham Forest 012,E02000906,986
Waltham Forest 013,E02000907,1902
Waltham Forest 014,E02000908,3265
Waltham Forest 015,E02000909,1564
Waltham Forest 016,E02000910,2067
Waltham Forest 017,E02000911,3291
Waltham Forest 018,E02000912,877
Waltham Forest 019,E02000913,4861
Waltham Forest 020,E02000914,2044
Waltham Forest 021,E02000915,1217
Waltham Forest 022,E02000916,3989
Waltham Forest 023,E02000917,993
Waltham Forest 024,E02000918,2464
Waltham Forest 025,E02000919,504
Waltham Forest 026,E02000920,3491
Waltham Forest 027,E02000921,1128
Waltham Forest 028,E02000922,826
,,
,,
,,
,"In order to protect against disclosure of personal information, records",
,have been swapped between different geographic areas. Some counts will,
,"be affected, particularly small counts at the lowest geographies",
