UK SOC 2010 Code,Census Categories: Occupation,Occupation title,Exposure,Interaction,Location,Physical Activities,Tools/ Protective Equipment,Ability to homework score,Median hourly pay (£),Total in employment,Percentage of the workforce that are female(%),Percentage of the workforce that are aged 55+ (%),Percentage of the workforce that are BAME (%),% Working from home during Lockdown
3314,Protective Service Occupations,Prison service officers (below principal officer),0.51,0.83,0.39,0.44,0.48,2.65,14.85,43000,35.2,19.7,9.1,63.72
3315,Protective Service Occupations,Police community support officers,0.7,0.94,0.75,0.52,0.65,3.56,14.07,15000,53,16.3,8.3,63.72
3319,Protective Service Occupations,Protective service associate professionals n.e.c.,0.38,0.66,0.48,0.45,0.48,2.45,16.89,64000,27.8,16.9,9.7,63.72
3411,"Artistic, Literary and Media Occupations",Artists,0.34,0.07,0.27,0.33,0.59,1.61,13.8,56000,51.1,19.8,5.3,63.72
3412,"Artistic, Literary and Media Occupations","Authors, writers and translators",0.02,0.09,0.17,0.05,0.12,0.46,15.43,91000,61.5,16.2,5.8,63.72
3413,"Artistic, Literary and Media Occupations","Actors, entertainers and presenters",0.2,0.57,0.23,0.52,0.14,1.65,x,54000,44.6,11.3,8.8,63.72
3414,"Artistic, Literary and Media Occupations",Dancers and choreographers,0.04,0.43,0.1,0.11,0.15,0.83,x,21000,73.4,5.4,7,63.72
3415,"Artistic, Literary and Media Occupations",Musicians,0.1,0.42,0.14,0.22,0.26,1.15,19.38,59000,30,13.9,7.5,63.72
3416,"Artistic, Literary and Media Occupations","Arts officers, producers and directors",0.09,0.29,0.24,0.16,0.28,1.05,18.15,95000,38.3,5.8,11.5,63.72
3417,"Artistic, Literary and Media Occupations","Photographers, audio-visual and broadcasting equipment operators",0.22,0.31,0.3,0.34,0.56,1.73,13.43,82000,24.5,17.1,5.2,63.72
3421,Design Occupations,Graphic designers,0.03,0.11,0.09,0.04,0.25,0.53,13.44,92000,33.5,9.3,4.2,63.72
3422,Design Occupations,"Product, clothing and related designers",0.23,0.22,0.17,0.35,0.36,1.33,14.83,89000,57,18.1,4,63.72
3441,Sports and Fitness Occupations,Sports players,0.24,0.41,0.62,0.67,0.65,2.58,x,16000,16.4,x,12.4,63.72
3442,Sports and Fitness Occupations,"Sports coaches, instructors and officials",0.12,0.45,0.27,0.43,0.24,1.51,12.08,101000,42.8,6.2,6.3,63.72
3443,Sports and Fitness Occupations,Fitness instructors,0.16,0.57,0.17,0.45,0.33,1.68,10.25,67000,48.9,11.6,10.2,63.72
3511,Transport Associate Professionals,Air traffic controllers,0.27,0.47,0.26,0.23,0.37,1.6,x,9000,15.6,x,x,63.72
3512,Transport Associate Professionals,Aircraft pilots and flight engineers,0.63,0.5,0.65,0.35,0.74,2.86,37.42,26000,5.7,19.6,x,63.72
3513,Transport Associate Professionals,Ship and hovercraft officers,0.69,0.4,0.76,0.55,0.79,3.19,x,15000,x,32.2,x,63.72
3520,Legal Associate Professionals,Legal associate professionals,0.12,0.31,0.16,0.2,0.23,1.03,15.01,81000,62.3,11.6,8.6,63.72
3531,"Business, Finance and Related Associate Professionals","Estimators, valuers and assessors",0.16,0.36,0.42,0.22,0.25,1.42,15.27,65000,25.7,21.7,7.3,63.72
3532,"Business, Finance and Related Associate Professionals",Brokers,0.04,0.25,0.11,0.04,0.08,0.5,26.17,52000,21.6,12,10.2,63.72
3533,"Business, Finance and Related Associate Professionals",Insurance underwriters,0.07,0.23,0.23,0.06,0.1,0.68,18.58,27000,54.5,14.9,3.3,63.72
3534,"Business, Finance and Related Associate Professionals",Finance and investment analysts and advisers,0,0.16,0.06,0.02,0.05,0.3,19.15,217000,35.2,10,14.3,63.72
