 , ,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work,place of work
,,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East,London,South East,South West,Wales,Scotland,Northern Ireland
usual residence : 2011 super output area - middle layer,mnemonic,E12000001,E12000002,E12000003,E12000004,E12000005,E12000006,E12000007,E12000008,E12000009,W92000004,S92000003,N92000002
Redbridge 033,E02000783,0,5,2,3,6,96,1773,24,3,1,1,0
Redbridge 034,E02006800,1,10,1,4,9,260,4002,92,10,5,3,0
Redbridge 035,E02006924,1,6,2,4,13,243,3918,55,3,2,1,0
Redbridge 036,E02006925,0,7,3,10,10,297,4396,74,6,2,3,0
Richmond upon Thames 001,E02000784,0,6,4,3,4,17,3603,164,7,1,0,0
Richmond upon Thames 002,E02000785,2,2,2,4,5,32,3556,385,12,3,4,0
Richmond upon Thames 003,E02000786,2,9,2,7,6,23,4382,277,19,4,3,0
Richmond upon Thames 004,E02000787,3,8,9,2,10,44,4169,474,15,2,1,0
Richmond upon Thames 005,E02000788,0,5,2,1,2,26,3359,222,8,1,1,0
Richmond upon Thames 006,E02000789,0,4,6,1,3,24,2288,263,11,1,2,1
Richmond upon Thames 007,E02000790,1,3,3,6,1,21,2460,285,10,1,2,0
Richmond upon Thames 008,E02000791,2,3,6,6,4,16,2298,274,15,0,3,0
Richmond upon Thames 009,E02000792,0,4,2,0,8,30,2505,417,11,1,2,0
Richmond upon Thames 010,E02000793,0,4,3,2,4,30,2876,370,6,0,3,0
Richmond upon Thames 011,E02000794,1,3,4,3,3,22,2545,402,10,2,2,0
Richmond upon Thames 012,E02000795,0,1,5,2,2,12,1989,171,7,0,1,0
Richmond upon Thames 013,E02000796,1,8,5,4,5,36,3415,479,6,3,2,0
Richmond upon Thames 014,E02000797,0,2,3,4,5,33,2992,480,11,2,2,0
Richmond upon Thames 015,E02000798,0,6,7,8,6,30,3890,555,12,0,2,1
Richmond upon Thames 016,E02000799,0,1,2,2,8,27,2242,363,5,2,0,0
Richmond upon Thames 017,E02000800,0,0,3,1,1,7,1767,151,8,0,1,0
Richmond upon Thames 018,E02000801,1,1,1,1,4,27,2551,355,10,0,1,0
Richmond upon Thames 019,E02000802,1,2,2,2,2,18,2378,389,8,0,1,0
Richmond upon Thames 020,E02000803,1,3,1,6,12,28,3137,627,9,1,1,2
Richmond upon Thames 021,E02000804,0,5,1,2,3,19,2688,395,7,1,1,0
Richmond upon Thames 022,E02000805,0,2,9,1,3,25,3389,523,9,3,1,0
Richmond upon Thames 023,E02000806,1,8,2,6,5,34,3242,688,8,2,1,0
Sutton 001,E02000840,3,3,4,4,6,20,2667,357,10,0,2,0
Sutton 002,E02000841,4,8,4,0,9,18,2847,365,10,0,2,0
Sutton 003,E02000842,4,3,2,4,3,9,2732,508,4,1,3,1
Sutton 004,E02000843,3,0,4,2,4,22,3023,386,8,0,2,0
Sutton 005,E02000844,3,3,1,6,4,16,2728,400,10,0,3,0
Sutton 006,E02000845,1,3,1,2,4,19,3184,659,10,0,3,0
Sutton 007,E02000846,1,6,6,1,6,14,2385,448,2,0,2,0
Sutton 008,E02000847,2,4,1,1,2,26,2824,742,7,0,3,0
Sutton 009,E02000848,1,4,2,0,2,17,2676,664,7,1,1,0
Sutton 010,E02000849,3,6,2,5,5,10,2769,400,8,1,1,0
Sutton 011,E02000850,1,8,2,2,10,27,3793,550,9,2,2,0
Sutton 012,E02000851,2,1,2,1,5,11,2879,585,7,0,0,0
Sutton 013,E02000852,1,5,3,1,3,21,2771,519,13,2,0,0
Sutton 014,E02000853,1,5,2,2,4,18,2635,600,7,1,1,0
Sutton 015,E02000854,0,5,1,2,8,15,2620,405,7,0,1,1
Sutton 016,E02000855,0,4,8,4,7,16,2433,657,4,0,0,0
Sutton 017,E02000856,2,6,1,2,8,16,3006,517,3,2,3,0
Sutton 018,E02000857,1,5,6,4,3,25,2852,683,11,2,2,0
Sutton 019,E02000858,1,4,2,3,3,13,2351,363,5,1,1,0
Sutton 020,E02000859,1,3,4,2,1,17,2664,506,6,0,1,0
Sutton 021,E02000860,1,6,3,6,7,21,2598,666,12,1,1,2
Sutton 022,E02000861,0,2,3,1,8,15,2479,504,11,0,1,0
Sutton 024,E02000863,4,1,1,1,5,9,1979,425,4,1,0,0
Sutton 025,E02006836,0,2,3,4,1,20,2546,667,13,1,1,0
Waltham Forest 001,E02000895,0,1,3,1,5,334,2181,31,5,3,1,0
Waltham Forest 002,E02000896,1,10,6,7,9,417,2956,39,5,1,1,0
Waltham Forest 003,E02000897,0,3,0,9,2,280,2499,20,7,2,3,0
Waltham Forest 004,E02000898,0,3,1,4,3,229,2540,28,4,2,1,0
Waltham Forest 005,E02000899,0,1,3,2,2,239,2718,38,5,0,0,0
Waltham Forest 006,E02000900,2,4,4,6,4,200,2621,18,5,1,3,0
Waltham Forest 007,E02000901,0,4,0,3,2,326,3440,41,5,0,1,0
Waltham Forest 008,E02000902,1,1,1,11,5,178,2764,31,2,1,3,0
Waltham Forest 009,E02000903,2,1,1,2,13,115,2614,34,7,1,0,0
Waltham Forest 010,E02000904,3,5,1,3,5,168,2801,35,4,1,1,0
Waltham Forest 011,E02000905,1,3,5,7,7,175,3194,41,6,1,1,0
Waltham Forest 012,E02000906,1,8,9,6,8,126,3152,42,4,0,5,0
Waltham Forest 013,E02000907,0,5,3,1,12,104,2819,36,6,2,1,0
Waltham Forest 014,E02000908,2,4,5,8,9,169,3928,46,5,27,2,0
Waltham Forest 015,E02000909,0,3,5,9,5,141,3254,45,2,1,3,0
Waltham Forest 016,E02000910,3,10,3,5,8,135,3864,58,4,0,3,0
Waltham Forest 017,E02000911,0,6,4,14,8,153,3824,31,6,1,3,0
Waltham Forest 018,E02000912,0,2,5,5,4,114,2910,30,7,0,2,0
Waltham Forest 019,E02000913,1,9,1,10,6,139,2952,23,5,0,1,0
Waltham Forest 020,E02000914,1,1,3,4,8,115,3104,36,2,1,1,2
Waltham Forest 021,E02000915,0,3,1,5,6,143,3296,41,6,0,7,1
Waltham Forest 022,E02000916,5,4,3,6,8,91,3156,47,0,3,3,0
Waltham Forest 023,E02000917,3,3,2,5,6,99,3331,32,6,0,0,1
Waltham Forest 024,E02000918,1,1,3,13,8,136,3364,34,2,1,4,0
Waltham Forest 025,E02000919,3,6,2,10,10,126,3466,46,0,1,1,0
Waltham Forest 026,E02000920,2,7,5,4,4,119,3253,33,1,3,3,0
Waltham Forest 027,E02000921,0,3,4,14,6,107,3392,71,7,0,2,0
Waltham Forest 028,E02000922,1,4,5,4,13,135,3452,49,8,0,0,0
